600979 广安爱众 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.16	7.23	7.01	7.07	1554971	11146995.00
2011/10/11	7.21	7.27	6.88	7.04	7364838	52586044.00
2011/10/12	7.02	7.21	6.85	7.20	3539473	25620664.00
2011/10/13	7.20	7.36	7.14	7.28	4345736	32076796.00
2011/10/17	7.21	7.40	7.21	7.35	7065204	52546168.00
2011/10/18	7.35	7.38	7.15	7.25	3619950	26625400.00
2011/10/19	7.20	7.33	7.18	7.25	1893678	13866684.00
2011/10/20	7.22	7.23	7.08	7.12	2614100	18912482.00
2011/10/21	7.11	7.24	7.04	7.07	2184607	15721319.00
2011/10/24	7.05	7.12	6.96	7.11	2702782	19268276.00
2011/10/25	7.10	7.17	6.95	7.14	3101272	22306816.00
2011/10/26	7.18	7.24	7.06	7.12	3128060	22691304.00
2011/10/27	7.17	7.26	7.10	7.18	2541380	18512764.00
2011/10/28	7.25	7.51	7.20	7.49	6529300	48717072.00
2011/10/31	7.43	7.70	7.30	7.40	7905363	59676376.00
2011/11/01	7.37	7.45	7.31	7.41	2952528	22081452.00
2011/11/02	7.31	7.44	7.19	7.43	3493987	25880116.00
2011/11/03	7.45	7.58	7.41	7.43	6341434	48000160.00
2011/11/04	7.42	7.51	7.38	7.49	5658887	42618260.00
2011/11/07	7.49	7.85	7.45	7.78	10185823	78584048.00
2011/11/08	7.75	7.82	7.49	7.60	8026758	62338568.00
2011/11/09	7.66	7.66	7.42	7.55	4228437	32281104.00
2011/11/10	7.54	7.54	7.40	7.45	3536589	26720718.00
2011/11/11	7.43	7.59	7.42	7.51	3965152	30167970.00
2011/11/14	7.48	7.65	7.48	7.60	5077148	39064356.00
2011/11/15	7.58	7.68	7.57	7.66	6148386	47452172.00
2011/11/16	7.66	7.66	7.35	7.42	7112371	53871396.00
2011/11/17	7.39	7.46	7.25	7.31	3482091	25866660.00
2011/11/18	7.31	7.31	7.10	7.17	2712427	19740336.00
2011/11/21	7.20	7.24	7.11	7.21	1829448	13320919.00
2011/11/22	7.12	7.23	7.09	7.19	1393220	10108856.00
2011/11/23	7.20	7.28	7.15	7.20	1758431	12830774.00
2011/11/24	7.16	7.18	6.90	6.99	4189334	29747960.00
2011/11/28	6.93	7.00	6.80	6.90	2361641	16531467.00
2011/11/29	7.00	7.00	6.75	6.92	2849149	19860780.00
2011/11/30	6.95	6.98	6.66	6.82	3551751	24526004.00
2011/12/01	6.90	7.06	6.82	6.85	3084639	21669812.00
2011/12/02	6.84	6.84	6.60	6.67	2214052	15012534.00
2011/12/05	6.73	6.73	6.46	6.49	2605900	17291396.00
2011/12/06	6.51	6.92	6.31	6.75	2567377	16856280.00
2011/12/07	6.65	6.70	6.58	6.69	2094418	14120734.00
2011/12/08	6.72	6.72	6.53	6.65	1866104	12594299.00
2011/12/09	6.57	6.64	6.32	6.49	4439671	28976040.00
2011/12/12	6.48	6.48	6.14	6.39	2901884	18631606.00
2011/12/13	6.28	6.33	6.10	6.18	3127738	19620712.00
2011/12/14	6.18	6.51	6.10	6.35	7930968	51178440.00
2011/12/15	6.37	6.57	6.34	6.39	7601393	50068328.00
2011/12/16	6.39	6.58	6.34	6.58	4440102	29107796.00
2011/12/19	6.54	6.54	6.25	6.40	4059193	26191644.00
2011/12/20	6.38	6.41	6.29	6.34	2114705	13613826.00
2011/12/21	6.34	6.43	6.28	6.32	2354041	15152344.00
2011/12/22	6.29	6.30	5.71	6.00	4798644	29029312.00
2011/12/23	5.99	6.03	5.79	5.92	5674022	33966856.00
2011/12/26	5.89	5.89	5.32	5.32	11239384	62351004.00
2011/12/27	5.19	5.19	4.78	4.78	9153512	44967800.00
2011/12/30	4.29	4.71	4.29	4.47	36665367	164566608.00
2012/01/04	4.33	4.49	4.16	4.17	20897400	92922088.00
2012/01/05	4.10	4.10	3.74	3.74	22695449	89616624.00
2012/01/06	3.42	3.74	3.42	3.73	14164394	52939608.00
2012/01/09	3.70	3.94	3.65	3.93	17588322	69094864.00
2012/01/10	3.92	4.27	3.87	4.14	20893494	87224592.00
2012/01/11	4.11	4.20	4.05	4.14	14391323	60754640.00
2012/01/12	4.14	4.23	4.09	4.13	11572379	49266424.00
2012/01/13	4.10	4.52	4.10	4.18	27122128	118290272.00
2012/01/16	4.12	4.12	3.85	3.87	12584264	51095264.00
2012/01/17	3.79	4.12	3.73	4.11	13864762	56721560.00
2012/01/18	4.12	4.22	4.01	4.01	10444267	44004464.00
2012/01/19	4.01	4.09	3.97	4.03	5570414	22969282.00
2012/01/20	4.04	4.08	4.00	4.06	5458839	22596522.00
2012/01/30	4.10	4.11	4.03	4.03	4346838	18075884.00
2012/01/31	4.05	4.05	3.95	3.98	4624607	18850328.00
2012/02/01	3.98	4.03	3.93	3.96	4629792	18906850.00
2012/02/02	3.96	4.05	3.94	4.03	5452151	22330548.00
2012/02/03	4.04	4.36	4.00	4.29	20425369	89133152.00
2012/02/06	4.28	4.45	4.24	4.41	16866640	75382376.00
2012/02/07	4.35	4.38	4.21	4.25	9000091	39522720.00
2012/02/08	4.25	4.39	4.25	4.39	9385866	41657372.00
2012/02/09	4.40	4.51	4.36	4.43	14122885	63915856.00
2012/02/10	4.44	4.59	4.37	4.54	18112817	82722064.00
2012/02/13	4.50	4.77	4.45	4.69	20158529	95732880.00
2012/02/14	4.71	4.71	4.59	4.67	9441616	44804216.00
2012/02/15	4.64	4.80	4.55	4.75	13827826	66159308.00
2012/02/16	4.74	4.79	4.63	4.75	12601225	60791076.00
2012/02/17	4.75	4.77	4.63	4.67	7410252	35508952.00
2012/02/20	4.72	4.76	4.66	4.68	8662715	41600808.00
2012/02/21	4.71	4.71	4.58	4.69	8293360	39333792.00
2012/02/22	4.69	4.80	4.68	4.79	19233557	93344176.00
2012/02/23	4.80	4.84	4.72	4.80	14654187	71395472.00
2012/02/24	4.88	5.02	4.84	4.88	23221014	116292640.00
2012/02/27	4.89	4.94	4.82	4.85	19976168	99443240.00
2012/02/28	4.84	4.86	4.67	4.76	15386110	74841456.00
2012/02/29	4.73	4.83	4.69	4.72	14203126	69145072.00
2012/03/01	4.70	4.78	4.68	4.74	9163661	44241568.00
2012/03/02	4.77	4.81	4.74	4.80	9885370	48249920.00
2012/03/05	4.82	4.87	4.78	4.83	15101211	74373648.00
2012/03/06	4.80	4.83	4.66	4.78	14122289	68275096.00
2012/03/07	4.70	5.10	4.67	4.98	40231423	202962800.00
2012/03/08	4.94	5.12	4.92	5.04	25174632	128531360.00
2012/03/09	5.04	5.09	4.95	5.05	12832104	65684256.00
2012/03/12	5.06	5.07	4.95	5.01	11210180	57231844.00
2012/03/13	4.99	5.18	4.97	5.16	21514505	111585648.00
2012/03/14	5.16	5.24	4.68	4.82	28635867	147020528.00
2012/03/15	4.78	4.85	4.48	4.54	17197767	81073384.00
2012/03/16	4.53	4.65	4.53	4.65	11022191	51752060.00
2012/03/19	4.65	4.73	4.55	4.73	9746006	46271832.00
2012/03/20	4.70	4.79	4.64	4.66	10150173	48888104.00
2012/03/21	4.68	4.70	4.57	4.66	8536216	40329080.00
2012/03/22	4.71	4.73	4.64	4.69	7849635	37586464.00
2012/03/23	4.67	4.68	4.45	4.47	9315625	43191856.00
2012/03/26	4.46	4.50	4.42	4.50	4154531	18969784.00
2012/03/27	4.52	4.58	4.49	4.56	6148840	28547948.00
2012/03/28	4.52	4.54	4.18	4.20	6838896	30355992.00
2012/03/29	4.11	4.19	3.99	4.06	6596547	27610416.00
2012/03/30	4.06	4.12	3.99	4.04	4164117	17200132.00
2012/04/05	4.05	4.18	4.05	4.17	3921976	16559010.00
2012/04/06	4.17	4.25	4.14	4.23	4632860	19985392.00
2012/04/09	4.23	4.23	4.09	4.09	4357976	18546720.00
2012/04/10	4.07	4.20	4.00	4.19	4551288	19119342.00
2012/04/11	4.15	4.19	4.10	4.18	3839891	16332716.00
2012/04/12	4.20	4.45	4.16	4.38	10727475	47456112.00
2012/04/13	4.39	4.78	4.34	4.76	19604958	90888448.00
2012/04/16	4.64	4.80	4.58	4.77	32137767	154076608.00
2012/04/17	4.78	5.19	4.72	5.07	61782461	309161280.00
2012/04/18	4.90	5.10	4.81	5.00	54036629	272516160.00
2012/04/19	4.94	4.94	4.71	4.77	23954737	117504912.00
2012/04/20	4.76	4.82	4.70	4.78	15975029	77663000.00
2012/04/23	4.76	4.84	4.68	4.83	14689191	71212616.00
2012/04/24	4.79	4.80	4.48	4.66	16399671	78132272.00
2012/04/25	4.65	4.80	4.56	4.75	16114868	77264320.00
2012/04/26	4.72	4.85	4.61	4.68	14231075	68732384.00
2012/04/27	4.65	4.70	4.52	4.54	11092687	51874508.00
2012/05/02	4.62	4.68	4.54	4.62	10140839	47744136.00
2012/05/03	4.62	4.74	4.57	4.70	11352552	54309668.00
2012/05/07	4.69	4.80	4.65	4.80	15004624	72864928.00
2012/05/08	4.80	4.82	4.71	4.74	9392493	45541536.00
2012/05/09	4.70	4.70	4.52	4.53	11277119	52745636.00
2012/05/10	4.48	4.56	4.40	4.42	10171855	46421420.00
2012/05/14	4.47	4.49	4.40	4.41	5541373	25144856.00
2012/05/15	4.39	4.39	4.26	4.39	6091495	26955008.00
2012/05/16	4.39	4.50	4.33	4.41	6985625	31677720.00
2012/05/17	4.42	4.48	4.40	4.46	4922869	22354178.00
2012/05/21	4.43	4.43	4.32	4.36	3884715	17354502.00
2012/05/22	4.41	4.44	4.36	4.43	3790256	17065432.00
2012/05/23	4.41	4.42	4.28	4.33	5323755	23641988.00
2012/05/24	4.30	4.35	4.25	4.28	5282133	23163574.00
2012/05/25	4.27	4.29	4.19	4.19	4441001	19220622.00
2012/05/28	4.19	4.25	4.06	4.25	4231927	18003204.00
2012/05/29	4.24	4.36	4.22	4.36	7227615	32009508.00
2012/05/30	4.36	4.46	4.35	4.38	6489685	29237776.00
2012/05/31	4.38	4.66	4.32	4.60	16379069	75936656.00
2012/06/01	4.55	4.62	4.43	4.50	10574994	48637360.00
2012/06/04	4.40	4.45	4.30	4.31	7944968	35560756.00
2012/06/05	4.31	4.43	4.29	4.36	4332047	19350160.00
2012/06/06	4.35	4.38	4.27	4.31	3703442	16374568.00
2012/06/07	4.33	4.40	4.21	4.25	3605593	15847545.00
2012/06/08	4.30	4.31	4.19	4.28	4223822	18393654.00
2012/06/11	4.30	4.64	4.30	4.47	12187389	56080144.00
2012/06/12	4.41	4.44	4.35	4.36	4987688	22366280.00
2012/06/13	4.38	4.53	4.37	4.51	13026517	59517776.00
2012/06/14	4.49	4.58	4.45	4.47	9075285	41832488.00
2012/06/15	4.49	4.54	4.42	4.53	10717501	49049764.00
2012/06/18	4.56	4.58	4.47	4.48	6242012	28820480.00
2012/06/19	4.47	4.47	4.33	4.34	7766435	34846008.00
2012/06/20	4.34	4.54	4.31	4.43	6922024	31226210.00
2012/06/21	4.40	4.41	4.31	4.36	4611613	20529104.00
2012/06/25	4.35	4.39	4.22	4.23	3956500	17444208.00
2012/06/26	4.20	4.25	4.05	4.15	5754826	24310424.00
2012/06/27	4.15	4.26	4.12	4.21	4251513	18278500.00
2012/06/28	4.20	4.22	4.09	4.09	2600106	11049260.00
2012/06/29	4.05	4.14	4.01	4.12	2650486	11059129.00
2012/07/02	4.15	4.18	4.12	4.14	2338379	9924725.00
2012/07/03	4.11	4.17	4.06	4.10	3044877	12845374.00
2012/07/05	4.12	4.12	4.00	4.01	3384303	13998521.00
2012/07/06	4.07	4.07	3.95	4.06	3183789	13109362.00
2012/07/09	4.05	4.05	3.89	3.90	3042549	12392361.00
2012/07/10	3.90	3.93	3.79	3.84	4328601	17053064.00
2012/07/11	3.83	3.89	3.80	3.86	2149019	8479402.00
2012/07/12	3.85	4.02	3.77	4.00	5864043	23341810.00
2012/07/13	4.04	4.13	3.99	3.99	8228707	34158696.00
2012/07/16	4.02	4.02	3.83	3.85	4772433	19031104.00
2012/07/17	3.86	3.92	3.81	3.92	2554693	10182026.00
2012/07/18	3.92	3.95	3.82	3.94	2402998	9580076.00
2012/07/19	3.94	4.04	3.90	3.98	4463266	18255556.00
2012/07/20	3.98	4.03	3.95	3.98	3437838	14067697.00
2012/07/23	3.95	3.99	3.89	3.96	2281977	9251523.00
2012/07/24	3.97	4.01	3.93	4.00	2967313	12106425.00
2012/07/25	4.00	4.00	3.92	3.92	2330117	9450437.00
2012/07/26	3.91	3.95	3.89	3.90	2232899	8968425.00
2012/07/27	3.90	3.94	3.86	3.87	1691569	6752525.00
2012/07/30	3.86	3.90	3.80	3.81	1934321	7630164.00
2012/07/31	3.82	3.82	3.65	3.70	2786909	10645349.00
2012/08/01	3.70	3.77	3.69	3.74	2330720	8942222.00
2012/08/02	3.74	3.76	3.68	3.70	2106133	8039603.00
2012/08/03	3.72	3.78	3.68	3.78	2000287	7672161.00
2012/08/06	3.77	3.92	3.74	3.90	3987089	15737144.00
2012/08/07	3.90	3.94	3.86	3.92	3283703	13145371.00
2012/08/08	3.94	4.00	3.90	3.91	3112462	12568276.00
2012/08/09	3.88	3.97	3.86	3.94	3234863	13029180.00
