600028 中国石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.62	4.63	4.58	4.59	12585035	87013840.00
2011/10/11	4.65	4.68	4.52	4.56	36540490	252767088.00
2011/10/13	4.65	4.72	4.62	4.70	40043032	280361408.00
2011/10/14	4.69	4.72	4.65	4.71	20673648	145059872.00
2011/10/17	4.70	4.75	4.69	4.74	20431182	144338432.00
2011/10/18	4.71	4.72	4.63	4.63	23575701	164708448.00
2011/10/19	4.65	4.69	4.62	4.65	12130419	84624520.00
2011/10/20	4.61	4.65	4.59	4.63	28376389	197264064.00
2011/10/21	4.64	4.65	4.57	4.59	17901122	124199216.00
2011/10/24	4.60	4.72	4.59	4.72	31591325	220158048.00
2011/10/25	4.71	4.78	4.67	4.75	25141827	178053072.00
2011/10/26	4.74	4.79	4.72	4.75	28314834	201584064.00
2011/10/27	4.77	4.80	4.75	4.77	19119054	136341648.00
2011/10/28	4.81	4.84	4.75	4.83	42400212	304271424.00
2011/10/31	4.82	4.82	4.75	4.78	28671204	204773984.00
2011/11/01	4.75	4.82	4.74	4.79	31917925	228538688.00
2011/11/02	4.75	4.85	4.72	4.85	35100264	251216512.00
2011/11/03	4.85	4.89	4.83	4.84	35251426	255311280.00
2011/11/04	4.88	5.04	4.87	4.99	86874502	641878208.00
2011/11/07	4.97	5.10	4.95	5.00	44537554	332212800.00
2011/11/08	5.00	5.18	4.98	5.12	90025636	681740288.00
2011/11/09	5.12	5.18	5.05	5.09	42929303	324500768.00
2011/11/10	5.04	5.06	4.98	4.99	30593418	227868768.00
2011/11/11	4.98	5.09	4.98	5.05	21997850	164747296.00
2011/11/14	5.09	5.16	5.09	5.12	18179452	137993504.00
2011/11/15	5.12	5.14	5.06	5.13	17754643	134107400.00
2011/11/16	5.09	5.11	4.93	4.95	32924592	244273536.00
2011/11/17	4.97	4.99	4.93	4.94	14706056	108408944.00
2011/11/18	4.92	4.92	4.84	4.85	17940177	130318568.00
2011/11/21	4.85	4.90	4.85	4.89	9079051	65926264.00
2011/11/22	4.85	4.92	4.83	4.89	15533265	113107176.00
2011/11/23	4.90	4.90	4.85	4.87	12459266	90511456.00
2011/11/24	4.83	4.91	4.82	4.90	11314256	82167792.00
2011/11/25	4.89	4.90	4.85	4.87	17697104	128451552.00
2011/11/28	4.87	4.91	4.85	4.85	12687941	92187480.00
2011/11/29	4.89	4.95	4.85	4.92	13908645	101628432.00
2011/11/30	4.91	4.92	4.74	4.75	20863540	150171264.00
2011/12/01	4.86	4.99	4.80	4.90	31709425	232025760.00
2011/12/02	4.89	4.92	4.77	4.82	14470085	104346304.00
2011/12/05	4.83	4.90	4.78	4.88	20800093	150700448.00
2011/12/06	4.86	4.99	4.86	4.99	27787049	204359168.00
2011/12/07	5.00	5.05	4.98	5.03	26361116	196460496.00
2011/12/08	5.03	5.05	4.96	4.99	8652895	64378680.00
2011/12/09	4.98	5.01	4.92	4.98	10083448	74330392.00
2011/12/12	4.96	4.96	4.85	4.85	11216897	81920760.00
2011/12/13	4.85	4.88	4.73	4.78	24207316	173339312.00
2011/12/14	4.78	4.78	4.65	4.73	25631200	180656432.00
2011/12/16	4.69	4.89	4.66	4.82	41432749	293591680.00
2011/12/19	4.79	4.79	4.66	4.74	33623133	237777888.00
2011/12/20	4.72	4.87	4.71	4.77	31510309	226275728.00
2011/12/21	4.81	4.84	4.72	4.75	17329088	123596336.00
2011/12/22	4.72	4.78	4.66	4.69	31614010	223472032.00
2011/12/23	4.70	4.77	4.69	4.75	9266873	65700152.00
2011/12/26	4.71	4.79	4.69	4.78	15957279	113317232.00
2011/12/27	4.77	4.79	4.69	4.72	11864533	84216384.00
2011/12/28	4.70	4.79	4.70	4.75	27565971	195986048.00
2011/12/29	4.75	4.80	4.72	4.77	17180430	122318728.00
2011/12/30	4.81	4.83	4.75	4.81	27298170	195829664.00
2012/01/04	4.89	5.01	4.88	4.95	52818138	389557568.00
2012/01/05	4.92	5.06	4.90	4.99	47888457	356528608.00
2012/01/06	5.05	5.09	4.94	5.04	39465447	293562912.00
2012/01/09	5.05	5.29	4.99	5.25	74396015	567375168.00
2012/01/10	5.17	5.31	5.13	5.28	73542406	570806656.00
2012/01/11	5.28	5.34	5.18	5.21	39298475	305532640.00
2012/01/12	5.20	5.24	5.14	5.18	30545148	234110192.00
2012/01/13	5.19	5.20	5.09	5.15	31027759	236473968.00
2012/01/16	5.14	5.15	5.07	5.09	22287819	168639424.00
2012/01/17	5.08	5.36	5.04	5.24	57861998	443173952.00
2012/01/18	5.23	5.25	5.10	5.12	43695592	334653696.00
2012/01/19	5.13	5.24	5.12	5.18	40746187	312011776.00
2012/01/20	5.18	5.25	5.15	5.24	42451662	326312992.00
2012/01/30	5.25	5.32	5.17	5.21	47473301	367782752.00
2012/01/31	5.22	5.26	5.20	5.25	21558522	166811312.00
2012/02/01	5.25	5.39	5.22	5.28	42775193	335156800.00
2012/02/02	5.29	5.35	5.25	5.33	37243446	290786400.00
2012/02/03	5.32	5.32	5.22	5.29	48543937	377395712.00
2012/02/06	5.29	5.31	5.23	5.27	28192837	219393376.00
2012/02/07	5.23	5.25	5.12	5.17	30492164	233361504.00
2012/02/08	5.22	5.29	5.12	5.27	71692608	550392768.00
2012/02/09	5.23	5.25	5.17	5.20	43981062	339015168.00
2012/02/10	5.18	5.22	5.15	5.19	28641272	219874976.00
2012/02/13	5.13	5.19	5.12	5.17	29577368	225641888.00
2012/02/14	5.17	5.22	5.15	5.18	26808206	205817712.00
2012/02/15	5.17	5.25	5.15	5.22	29300854	225811408.00
2012/02/16	5.23	5.24	5.13	5.16	26524851	203411328.00
2012/02/17	5.17	5.22	5.14	5.14	25322830	193811984.00
2012/02/20	5.19	5.21	5.12	5.13	40419523	308893536.00
2012/02/21	5.12	5.12	5.03	5.09	65818392	494124608.00
2012/02/22	5.07	5.12	5.05	5.12	44689541	336762752.00
2012/02/23	5.11	5.16	5.09	5.12	57674799	437171776.00
2012/02/24	5.13	5.16	5.06	5.15	79082131	598697600.00
2012/02/27	5.17	5.28	5.15	5.20	105054560	808352640.00
2012/02/28	5.19	5.22	5.17	5.21	51889212	398651104.00
