600533 栖霞建设 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.65	3.65	3.58	3.60	1898360	7432602.00
2011/10/11	3.68	3.69	3.59	3.62	1948068	7670780.00
2011/10/12	3.62	3.75	3.58	3.73	2752618	11008389.00
2011/10/13	3.72	3.77	3.70	3.75	2930813	11852100.00
2011/10/14	3.75	3.75	3.67	3.70	2537833	10159189.00
2011/10/17	3.69	3.75	3.68	3.70	2416675	9690717.00
2011/10/18	3.68	3.68	3.57	3.57	3304122	12913930.00
2011/10/19	3.60	3.62	3.54	3.55	1708525	6631782.00
2011/10/20	3.55	3.57	3.39	3.40	3229419	12118915.00
2011/10/21	3.40	3.49	3.38	3.39	1682950	6268870.00
2011/10/24	3.41	3.50	3.34	3.49	2555706	9539473.00
2011/10/25	3.45	3.59	3.44	3.56	4672094	17890764.00
2011/10/26	3.51	3.64	3.51	3.59	5375029	20950996.00
2011/10/27	3.62	3.63	3.56	3.58	3430152	13346085.00
2011/10/28	3.65	3.79	3.64	3.73	8821797	35491296.00
2011/10/31	3.71	3.72	3.60	3.65	5878314	23168278.00
2011/11/01	3.61	3.66	3.57	3.62	5432162	21272242.00
2011/11/02	3.57	3.67	3.52	3.65	6918108	26940188.00
2011/11/03	3.66	3.73	3.63	3.66	7837613	31223294.00
2011/11/04	3.68	3.73	3.66	3.71	6018982	24052076.00
2011/11/07	3.68	3.71	3.65	3.65	2933241	11678541.00
2011/11/08	3.64	3.68	3.51	3.57	6528658	25279210.00
2011/11/09	3.58	3.63	3.50	3.59	4901943	18901078.00
2011/11/10	3.57	3.57	3.47	3.49	6413111	24450040.00
2011/11/11	3.51	3.52	3.47	3.49	3274505	12405612.00
2011/11/14	3.51	3.58	3.50	3.58	5283356	20347628.00
2011/11/15	3.59	3.59	3.53	3.58	4613307	17805024.00
2011/11/16	3.57	3.57	3.46	3.48	5016929	19091768.00
2011/11/17	3.47	3.50	3.44	3.45	3310730	12461446.00
2011/11/18	3.43	3.46	3.35	3.37	3845390	14210781.00
2011/11/21	3.38	3.40	3.31	3.39	3565473	12996160.00
2011/11/22	3.36	3.40	3.33	3.38	2350483	8617763.00
2011/11/23	3.39	3.41	3.35	3.39	3224473	11874298.00
2011/11/24	3.35	3.44	3.34	3.40	3185721	11770786.00
2011/11/25	3.40	3.40	3.34	3.35	1996439	7317757.00
2011/11/28	3.34	3.36	3.32	3.34	1897191	6901135.00
2011/11/29	3.37	3.46	3.33	3.44	5169057	19145608.00
2011/11/30	3.42	3.42	3.29	3.36	9701287	35652364.00
2011/12/01	3.46	3.53	3.38	3.39	14393627	54018776.00
2011/12/02	3.35	3.38	3.26	3.31	6611736	23834000.00
2011/12/05	3.31	3.31	3.22	3.23	3162212	11237382.00
2011/12/06	3.24	3.27	3.20	3.24	2232759	7898636.00
2011/12/07	3.25	3.36	3.21	3.27	3096767	11036792.00
2011/12/08	3.25	3.28	3.20	3.24	3005611	10638892.00
2011/12/09	3.24	3.29	3.21	3.26	1955772	6952834.00
2011/12/12	3.25	3.25	3.18	3.19	2214250	7751286.00
2011/12/13	3.19	3.19	3.06	3.08	3362950	11440432.00
2011/12/14	3.05	3.09	2.98	3.00	2025045	6766563.00
2011/12/15	2.98	3.03	2.93	2.94	3717405	12169924.00
2011/12/19	2.98	3.00	2.92	2.98	2701078	8821286.00
2011/12/20	2.97	3.08	2.97	3.03	4520939	15104510.00
2011/12/21	3.04	3.06	2.95	2.96	1706670	5648283.00
2011/12/22	2.95	3.00	2.86	2.96	3372826	10867587.00
2011/12/23	2.96	3.05	2.95	2.99	2445020	8064832.00
2011/12/26	3.00	3.02	2.96	2.98	2093187	6890852.00
2011/12/27	2.97	2.99	2.92	2.93	1150660	3747087.00
2011/12/28	2.93	2.95	2.85	2.93	2067764	6628826.00
2011/12/29	2.91	2.96	2.90	2.95	2412279	7806373.00
2011/12/30	2.95	3.01	2.95	2.98	3316601	10853026.00
2012/01/04	2.98	2.99	2.88	2.90	2303649	7459826.00
2012/01/05	2.90	2.90	2.80	2.81	2480363	7822912.00
2012/01/06	2.82	2.84	2.73	2.82	2944174	9072785.00
2012/01/09	2.81	2.92	2.77	2.91	3937255	12476524.00
2012/01/10	2.91	3.06	2.88	3.02	8222596	27106840.00
2012/01/11	3.03	3.03	2.96	2.98	5269138	17346044.00
2012/01/12	2.98	3.08	2.97	2.97	7269656	24055080.00
2012/01/13	2.98	3.00	2.85	2.88	4319964	13823166.00
2012/01/16	2.88	2.88	2.80	2.81	2365671	7437248.00
2012/01/17	2.81	2.95	2.80	2.95	6702531	21417336.00
2012/01/18	2.97	2.99	2.88	2.89	4468934	14462507.00
2012/01/19	2.90	2.97	2.88	2.95	4623604	14931265.00
2012/01/20	2.96	3.02	2.94	3.01	8239287	27143426.00
2012/01/30	3.01	3.04	2.96	2.97	3436977	11331957.00
2012/01/31	2.97	2.98	2.94	2.97	1980666	6459196.00
2012/02/01	2.98	3.00	2.94	2.95	1717517	5611150.00
2012/02/02	2.94	3.00	2.92	2.99	2296136	7494114.00
2012/02/03	3.00	3.10	2.97	3.06	6805853	22734040.00
2012/02/06	3.05	3.06	3.01	3.05	3449646	11504482.00
2012/02/07	3.03	3.03	2.95	2.96	2976218	9760504.00
2012/02/08	2.97	3.10	2.95	3.08	7309418	24368036.00
2012/02/09	3.08	3.19	3.05	3.15	19523546	67194544.00
2012/02/10	3.14	3.27	3.13	3.19	16519927	57893808.00
2012/02/13	3.10	3.15	3.07	3.13	8150574	27725884.00
2012/02/14	3.11	3.16	3.08	3.15	5869205	20062182.00
2012/02/15	3.14	3.19	3.11	3.18	7724431	26706980.00
2012/02/16	3.19	3.21	3.14	3.19	5373106	18669980.00
2012/02/17	3.20	3.21	3.13	3.17	4313517	14958913.00
2012/02/20	3.22	3.32	3.22	3.22	14935662	53130732.00
2012/02/21	3.20	3.25	3.16	3.25	5789403	20338096.00
2012/02/22	3.24	3.55	3.23	3.44	31473389	117368672.00
2012/02/23	3.40	3.46	3.37	3.40	10951893	40601820.00
2012/02/24	3.40	3.69	3.39	3.66	31297121	121664680.00
2012/02/27	3.68	3.85	3.65	3.66	28553555	115711072.00
2012/02/28	3.62	3.72	3.59	3.68	10203601	40394772.00
2012/02/29	3.60	3.60	3.48	3.49	12097962	46372200.00
2012/03/01	3.48	3.56	3.46	3.52	6206531	23762362.00
2012/03/02	3.52	3.75	3.51	3.73	18371514	72869152.00
2012/03/05	3.75	3.80	3.65	3.67	10153235	40694876.00
2012/03/06	3.66	3.68	3.56	3.62	6278741	24575580.00
2012/03/07	3.54	3.66	3.53	3.56	5326369	20723952.00
2012/03/08	3.57	3.64	3.57	3.61	4648357	18182872.00
2012/03/09	3.61	3.63	3.56	3.62	6298121	24523380.00
